Paper ID,Title,Authors,Year,Publication Date,Venue,Citation Count,Source Database,Abstract,URL,__norm_title,text_for_detection,moral_theories_list,moral_theories,likely_journal_article
bae0ddb32c61848ffbb817bca4e181e86befd3fc,New threat of culture wars? The religious roots of public opinion polarization on morality issues in Europe,Tadeas Cely,2025,2025-03-17,European Union Politics,1,Semantic Scholar,"Cultural polarization divides European public opinion on moral issues, from Italy’s refusal to register children of same-sex couples to abortion protests in Poland. These divisions stem from historical church-state conflicts in various religious cultures. This polarization is particularly strong in Catholic countries but less so in Protestant ones. Using data from 19 European democracies, I show a persistent gap between Catholic and Protestant countries. On the other hand, I show a limited effect of economic prosperity. Developed countries no longer lead in moral issue divisions, with recent surveys showing no or reversed differences. Younger generations are no less principled on moral issues in the Catholic contexts, with cohort differences in polarization even growing significantly between 2008 and 2017, highlighting the enduring impact of religious traditions among younger cohorts.",https://www.semanticscholar.org/paper/bae0ddb32c61848ffbb817bca4e181e86befd3fc,new threat of culture wars? the religious roots of public opinion polarization on morality issues in europe,"New threat of culture wars? The religious roots of public opinion polarization on morality issues in Europe. Cultural polarization divides European public opinion on moral issues, from Italy’s refusal to register children of same-sex couples to abortion protests in Poland. These divisions stem from historical church-state conflicts in various religious cultures. This polarization is particularly strong in Catholic countries but less so in Protestant ones. Using data from 19 European democracies, I show a persistent gap between Catholic and Protestant countries. On the other hand, I show a limited effect of economic prosperity. Developed countries no longer lead in moral issue divisions, with recent surveys showing no or reversed differences. Younger generations are no less principled on moral issues in the Catholic contexts, with cohort differences in polarization even growing significantly between 2008 and 2017, highlighting the enduring impact of religious traditions among younger cohorts.",[],,True
8ee2298b8291d8ad8e6cbe5959ebcf07871974c7,"Legislating Morality in the US Congress…or Not: Religion, Polarization, and the Next Wave of Culture",Elizabeth Oldmixon,2019,2019-04-01,The Forum,0,Semantic Scholar,"Abstract Americans routinely petition their legislators for moral redress, drawing the US Congress into cultural debates about who we are as a people and what behaviors and social relationships are compatible with that shared identity. By engaging moral issues, Congress affirms one set of values over another, and legislative behavior is informed by cultural proxies such as religion, ideology, and partisanship. The institution falls short, however, when it comes to crafting lasting, comprehensive policy outputs in this domain. This is because moral issues do not lend themselves to compromise, whereas Congress is structured to seek compromise. The difficulties are exacerbated by party polarization driven by religious and ideological sorting. The upshot is that policymakers are often unable to build the broad coalitions necessary provide policy solutions. Assuming institutional arrangements and levels of polarization remain intact, and barring massive shifts in public opinion or developments in the courts, gridlock on moral issues will likely be the norm.",https://www.semanticscholar.org/paper/8ee2298b8291d8ad8e6cbe5959ebcf07871974c7,"legislating morality in the us congress…or not: religion, polarization, and the next wave of culture","Legislating Morality in the US Congress…or Not: Religion, Polarization, and the Next Wave of Culture. Abstract Americans routinely petition their legislators for moral redress, drawing the US Congress into cultural debates about who we are as a people and what behaviors and social relationships are compatible with that shared identity. By engaging moral issues, Congress affirms one set of values over another, and legislative behavior is informed by cultural proxies such as religion, ideology, and partisanship. The institution falls short, however, when it comes to crafting lasting, comprehensive policy outputs in this domain. This is because moral issues do not lend themselves to compromise, whereas Congress is structured to seek compromise. The difficulties are exacerbated by party polarization driven by religious and ideological sorting. The upshot is that policymakers are often unable to build the broad coalitions necessary provide policy solutions. Assuming institutional arrangements and levels of polarization remain intact, and barring massive shifts in public opinion or developments in the courts, gridlock on moral issues will likely be the norm.",[],,True
86ef7a95a82b8b48759d476dd247b6163e04c294,Issue salience and affective polarization,K. Han,2023,2023-11-01,"Journal of Elections, Public Opinion, and Parties",8,Semantic Scholar,"ABSTRACT Which voters hold polarized affects for political parties in Western Europe? We consider distinct characteristics of different political issues that shape political actors’ behaviors and argue that voters are more affectively polarized when they put salience on cultural issues because their stances on the issues are embedded in their deep-seated identity, value, belief, and morality. Empirically, we use measures of affective polarization that incorporate the multiparty systems of Western European countries. Using the Comparative Study of Electoral Systems (Module 3), we find that voters who put salience on cultural issues are more affectively polarized than others. The result implies that rising affective polarization in the past decades might have been related to increasing priorities on cultural issues. It also implies that political parties may potentially weaken voters’ affective polarization by manipulating their issue agenda.",https://www.semanticscholar.org/paper/86ef7a95a82b8b48759d476dd247b6163e04c294,issue salience and affective polarization,"Issue salience and affective polarization. ABSTRACT Which voters hold polarized affects for political parties in Western Europe? We consider distinct characteristics of different political issues that shape political actors’ behaviors and argue that voters are more affectively polarized when they put salience on cultural issues because their stances on the issues are embedded in their deep-seated identity, value, belief, and morality. Empirically, we use measures of affective polarization that incorporate the multiparty systems of Western European countries. Using the Comparative Study of Electoral Systems (Module 3), we find that voters who put salience on cultural issues are more affectively polarized than others. The result implies that rising affective polarization in the past decades might have been related to increasing priorities on cultural issues. It also implies that political parties may potentially weaken voters’ affective polarization by manipulating their issue agenda.",['Virtue Ethics'],Virtue Ethics,True
ecf4a941d8830a6d0738e468822ede93cae03f13,(Im)Morality in Political Discourse?: The Effects of Moral Psychology in Politics,Nicholas P. Nicoletti; William Delehanty,2017,,,3,Semantic Scholar,,https://www.semanticscholar.org/paper/ecf4a941d8830a6d0738e468822ede93cae03f13,(im)morality in political discourse?: the effects of moral psychology in politics,(Im)Morality in Political Discourse?: The Effects of Moral Psychology in Politics. ,['Moral Psychology'],Moral Psychology,True
243b90d757be4da1cf27666c0ac831482dd8f154,Are Americans polarized on issue dimensions?,Marcos Menchaca,2021,2021-04-07,"Journal of Elections, Public Opinion, and Parties",8,Semantic Scholar,"ABSTRACT American mass polarization is still a contested subject in political science. One reason why scholars disagree is because polarization has often been studied either using individual issue questions or using an overall measure of ideology (usually ideological constraint). Because these methods are problematic, I use a multidimensional approach to estimating ideology. Since scholars have disagreed on what issue domains are important for Americans, I use exploratory factor analysis to show that there are three major ones: economics, race, and morality. I then use a latent measurement model to construct ideal points on all three beginning in the year 1988 going through to 2016. Then I evaluate polarization both as an increase in dispersion and as a state of how bimodal the distribution is. Although I find increased dispersion on all the dimensions since 1988, the key finding of this study is that the level of polarization is dependent on the dimension–Americans are more polarized on race and morality in 2016 than they are on economics. Still, all the distributions are centrally distributed even in 2016. Hence, polarization could still become a lot worse than it was in 2016.",https://www.semanticscholar.org/paper/243b90d757be4da1cf27666c0ac831482dd8f154,are americans polarized on issue dimensions?,"Are Americans polarized on issue dimensions?. ABSTRACT American mass polarization is still a contested subject in political science. One reason why scholars disagree is because polarization has often been studied either using individual issue questions or using an overall measure of ideology (usually ideological constraint). Because these methods are problematic, I use a multidimensional approach to estimating ideology. Since scholars have disagreed on what issue domains are important for Americans, I use exploratory factor analysis to show that there are three major ones: economics, race, and morality. I then use a latent measurement model to construct ideal points on all three beginning in the year 1988 going through to 2016. Then I evaluate polarization both as an increase in dispersion and as a state of how bimodal the distribution is. Although I find increased dispersion on all the dimensions since 1988, the key finding of this study is that the level of polarization is dependent on the dimension–Americans are more polarized on race and morality in 2016 than they are on economics. Still, all the distributions are centrally distributed even in 2016. Hence, polarization could still become a lot worse than it was in 2016.",[],,True
f1a75bc57c982bd2b1a7c111dceb7e1fbc67ae9e,The Rationality of advocating International relations' Democratization and Ways of its Realization,Sun Jian-she,2004,,,0,Semantic Scholar,,https://www.semanticscholar.org/paper/f1a75bc57c982bd2b1a7c111dceb7e1fbc67ae9e,the rationality of advocating international relations' democratization and ways of its realization,The Rationality of advocating International relations' Democratization and Ways of its Realization. ,[],,True
07beff9f8d889e15e8b7a37cc00578a61e124704,Opinion cascades and the unpredictability of partisan polarization,M. Macy; Sebastian Deri; A. Ruch; Natalie Tong,2019,2019-08-01,Science Advances,53,Semantic Scholar,"Partisan polarization appears to reflect real ideological differences but two studies show how easily the sides could be switched. “Culture wars” involve the puzzling alignment of partisan identity with disparate policy positions, lifestyle choices, and personal morality. Explanations point to ideological divisions, core values, moral emotions, and cognitive hardwiring. Two “multiple worlds” experiments (n = 4581) tested an alternative explanation based on the sensitivity of opinion cascades to the initial conditions. Consistent with recent studies, partisan divisions in the influence condition were much larger than in the control group (without influence). The surprise is that bigger divisions indicate less predictability. Emergent positions adopted by Republicans and opposed by Democrats in one experimental “world” had the opposite outcome in other parallel worlds. The unpredictability suggests that what appear to be deep-rooted partisan divisions in our own world may have arisen through a tipping process that might just as easily have tipped the other way. Public awareness of this counter-intuitive possibility has the potential to encourage greater tolerance for opposing opinions.",https://www.semanticscholar.org/paper/07beff9f8d889e15e8b7a37cc00578a61e124704,opinion cascades and the unpredictability of partisan polarization,"Opinion cascades and the unpredictability of partisan polarization. Partisan polarization appears to reflect real ideological differences but two studies show how easily the sides could be switched. “Culture wars” involve the puzzling alignment of partisan identity with disparate policy positions, lifestyle choices, and personal morality. Explanations point to ideological divisions, core values, moral emotions, and cognitive hardwiring. Two “multiple worlds” experiments (n = 4581) tested an alternative explanation based on the sensitivity of opinion cascades to the initial conditions. Consistent with recent studies, partisan divisions in the influence condition were much larger than in the control group (without influence). The surprise is that bigger divisions indicate less predictability. Emergent positions adopted by Republicans and opposed by Democrats in one experimental “world” had the opposite outcome in other parallel worlds. The unpredictability suggests that what appear to be deep-rooted partisan divisions in our own world may have arisen through a tipping process that might just as easily have tipped the other way. Public awareness of this counter-intuitive possibility has the potential to encourage greater tolerance for opposing opinions.",[],,True
623ffe3fd56929341b0fcaeaff726c3a6162c50c,MoralHazard: German Public Opinion on the Greek Debt Crisis,Brian C. Rathbun; Kathleen E Powers; Therese Anders,2018,2018-09-17,Political Psychology,19,Semantic Scholar,"The recent Eurozone crisis and negotiations over bailout packages to Greece are more than a simple controversy about financial resources. They have a decidedly moralistic overtone. Giving more funds is thought by some to be unfair to hard-working taxpayers and does not teach Greece an important moral lesson. Yet much international political economy scholarship neglects such considerations. We build on moral psychology to understand the ethical drivers of both German support and opposition to the 2015 Greek government bailout package. We analyze original survey data to show how morality is an essential factor in Germany’s hard-line approach. Our results show that caring and European attachment are associated with bailout support, while authority, national attachment, and retributive fairness drive opposition. Some morals also have boundaries: National attachment attenuates the effect of harm/care on support for foreign financial assistance but strengthens the effect of fairness on bailout opposition. Moral psychology helps us understand foreign policy but must be adapted to account for multiple potential ingroups.",https://www.semanticscholar.org/paper/623ffe3fd56929341b0fcaeaff726c3a6162c50c,moralhazard: german public opinion on the greek debt crisis,"MoralHazard: German Public Opinion on the Greek Debt Crisis. The recent Eurozone crisis and negotiations over bailout packages to Greece are more than a simple controversy about financial resources. They have a decidedly moralistic overtone. Giving more funds is thought by some to be unfair to hard-working taxpayers and does not teach Greece an important moral lesson. Yet much international political economy scholarship neglects such considerations. We build on moral psychology to understand the ethical drivers of both German support and opposition to the 2015 Greek government bailout package. We analyze original survey data to show how morality is an essential factor in Germany’s hard-line approach. Our results show that caring and European attachment are associated with bailout support, while authority, national attachment, and retributive fairness drive opposition. Some morals also have boundaries: National attachment attenuates the effect of harm/care on support for foreign financial assistance but strengthens the effect of fairness on bailout opposition. Moral psychology helps us understand foreign policy but must be adapted to account for multiple potential ingroups.","['Care Ethics', 'Contractualism', 'Moral Foundations', 'Moral Psychology']",Care Ethics; Contractualism; Moral Foundations; Moral Psychology,True
d24a6901c274a6f05f2717bbd041221d8707d6d3,The structural transformation of the public sphere : an inquiry into a category of bourgeois society,J. Habermas; T. Burger,1989,,,4521,Semantic Scholar,,https://www.semanticscholar.org/paper/d24a6901c274a6f05f2717bbd041221d8707d6d3,the structural transformation of the public sphere : an inquiry into a category of bourgeois society,The structural transformation of the public sphere : an inquiry into a category of bourgeois society. ,[],,True
e700e88a19740b5694b7b0b08130a9a332b07f70,The Civil Sphere,J. Alexander,2006,,,1157,Semantic Scholar,,https://www.semanticscholar.org/paper/e700e88a19740b5694b7b0b08130a9a332b07f70,the civil sphere,The Civil Sphere. ,[],,True
